financial_year,mine,mine_type,saleable_production_tonnes
FY2010,Baralaba North Mine,Open Cut,526575
FY2011,Baralaba North Mine,Open Cut,176856
FY2012,Baralaba North Mine,Open Cut,1407801
FY2013,Baralaba North Mine,Open Cut,619368
FY2014,Baralaba North Mine,Open Cut,830589
FY2015,Baralaba North Mine,Open Cut,774219
FY2016,Baralaba North Mine,Open Cut,469932
FY2017,Baralaba North Mine,Open Cut,0
FY2018,Baralaba North Mine,Open Cut,21973
FY2019,Baralaba North Mine,Open Cut,838786
FY2020,Baralaba North Mine,Open Cut,950867
FY2021,Baralaba North Mine,Open Cut,1265724
FY2022,Baralaba North Mine,Open Cut,1534060
FY2023,Baralaba North Mine,Open Cut,1552786
FY2024,Baralaba North Mine,Open Cut,1532642
FY2025,Baralaba North Mine,Open Cut,1537933
FY2010,Blackwater Mine,Open Cut,11502548
FY2011,Blackwater Mine,Open Cut,8568332
FY2012,Blackwater Mine,Open Cut,8496932
FY2013,Blackwater Mine,Open Cut,10572236
FY2014,Blackwater Mine,Open Cut,13066550
FY2015,Blackwater Mine,Open Cut,13387290
FY2016,Blackwater Mine,Open Cut,14665975
FY2017,Blackwater Mine,Open Cut,14015504
FY2018,Blackwater Mine,Open Cut,13195690
FY2019,Blackwater Mine,Open Cut,13206344
FY2020,Blackwater Mine,Open Cut,11089183
FY2021,Blackwater Mine,Open Cut,12449007
FY2022,Blackwater Mine,Open Cut,11668612
FY2023,Blackwater Mine,Open Cut,10109845
FY2024,Blackwater Mine,Open Cut,10102040
FY2025,Blackwater Mine,Open Cut,11014667
FY2010,Blair Athol,Open Cut,9844946
FY2011,Blair Athol,Open Cut,3858146
FY2012,Blair Athol,Open Cut,2458106
FY2013,Blair Athol,Open Cut,1446855
FY2014,Blair Athol,Open Cut,0
FY2015,Blair Athol,Open Cut,0
FY2016,Blair Athol,Open Cut,0
FY2017,Blair Athol,Open Cut,0
FY2018,Blair Athol,Open Cut,1092574
FY2019,Blair Athol,Open Cut,2395476
FY2020,Blair Athol,Open Cut,2476646
FY2021,Blair Athol,Open Cut,2198529
FY2022,Blair Athol,Open Cut,2164766
FY2023,Blair Athol,Open Cut,1868010
FY2024,Blair Athol,Open Cut,1505264
FY2025,Blair Athol,Open Cut,1503745
FY2010,Bluff Coal Mine,Open Cut,0
FY2011,Bluff Coal Mine,Open Cut,0
FY2012,Bluff Coal Mine,Open Cut,0
FY2013,Bluff Coal Mine,Open Cut,0
FY2014,Bluff Coal Mine,Open Cut,0
FY2015,Bluff Coal Mine,Open Cut,0
FY2016,Bluff Coal Mine,Open Cut,0
FY2017,Bluff Coal Mine,Open Cut,0
FY2018,Bluff Coal Mine,Open Cut,0
FY2019,Bluff Coal Mine,Open Cut,47760
FY2020,Bluff Coal Mine,Open Cut,811058
FY2021,Bluff Coal Mine,Open Cut,247749
FY2022,Bluff Coal Mine,Open Cut,0
FY2023,Bluff Coal Mine,Open Cut,322643
FY2024,Bluff Coal Mine,Open Cut,323718
FY2025,Bluff Coal Mine,Open Cut,0
FY2010,Broadlea,Open Cut,641334
FY2011,Broadlea,Open Cut,0
FY2012,Broadlea,Open Cut,0
FY2013,Broadlea,Open Cut,0
FY2014,Broadlea,Open Cut,0
FY2015,Broadlea,Open Cut,0
FY2016,Broadlea,Open Cut,0
FY2017,Broadlea,Open Cut,0
FY2018,Broadlea,Open Cut,0
FY2019,Broadlea,Open Cut,0
FY2020,Broadlea,Open Cut,0
FY2021,Broadlea,Open Cut,0
FY2022,Broadlea,Open Cut,196831
FY2023,Broadlea,Open Cut,632385
FY2024,Broadlea,Open Cut,489546
FY2025,Broadlea,Open Cut,350484
FY2010,Broadmeadow East,Open Cut,0
FY2011,Broadmeadow East,Open Cut,0
FY2012,Broadmeadow East,Open Cut,0
FY2013,Broadmeadow East,Open Cut,0
FY2014,Broadmeadow East,Open Cut,0
FY2015,Broadmeadow East,Open Cut,0
FY2016,Broadmeadow East,Open Cut,0
FY2017,Broadmeadow East,Open Cut,0
FY2018,Broadmeadow East,Open Cut,0
FY2019,Broadmeadow East,Open Cut,0
FY2020,Broadmeadow East,Open Cut,0
FY2021,Broadmeadow East,Open Cut,0
FY2022,Broadmeadow East,Open Cut,0
FY2023,Broadmeadow East,Open Cut,617666
FY2024,Broadmeadow East,Open Cut,1066668
FY2025,Broadmeadow East,Open Cut,50648
FY2010,Burton Coal Mine,Open Cut,2717678
FY2011,Burton Coal Mine,Open Cut,2237265
FY2012,Burton Coal Mine,Open Cut,1407791
FY2013,Burton Coal Mine,Open Cut,1505842
FY2014,Burton Coal Mine,Open Cut,2213634
FY2015,Burton Coal Mine,Open Cut,1198373
FY2016,Burton Coal Mine,Open Cut,1248357
FY2017,Burton Coal Mine,Open Cut,797877
FY2018,Burton Coal Mine,Open Cut,0
FY2019,Burton Coal Mine,Open Cut,0
FY2020,Burton Coal Mine,Open Cut,0
FY2021,Burton Coal Mine,Open Cut,0
FY2022,Burton Coal Mine,Open Cut,0
FY2023,Burton Coal Mine,Open Cut,0
FY2024,Burton Coal Mine,Open Cut,0
FY2025,Burton Coal Mine,Open Cut,0
FY2010,Byerwen Coal Mine,Open Cut,0
FY2011,Byerwen Coal Mine,Open Cut,0
FY2012,Byerwen Coal Mine,Open Cut,0
FY2013,Byerwen Coal Mine,Open Cut,0
FY2014,Byerwen Coal Mine,Open Cut,0
FY2015,Byerwen Coal Mine,Open Cut,0
FY2016,Byerwen Coal Mine,Open Cut,0
FY2017,Byerwen Coal Mine,Open Cut,0
FY2018,Byerwen Coal Mine,Open Cut,1662522
FY2019,Byerwen Coal Mine,Open Cut,3177429
FY2020,Byerwen Coal Mine,Open Cut,4238610
FY2021,Byerwen Coal Mine,Open Cut,5200293
FY2022,Byerwen Coal Mine,Open Cut,4041280
FY2023,Byerwen Coal Mine,Open Cut,3597960
FY2024,Byerwen Coal Mine,Open Cut,4475191
FY2025,Byerwen Coal Mine,Open Cut,3304352
FY2010,Callide Mine,Open Cut,8757686
FY2011,Callide Mine,Open Cut,7795447
FY2012,Callide Mine,Open Cut,7911268
FY2013,Callide Mine,Open Cut,6810478
FY2014,Callide Mine,Open Cut,6514968
FY2015,Callide Mine,Open Cut,8129429
FY2016,Callide Mine,Open Cut,7837494
FY2017,Callide Mine,Open Cut,8394299
FY2018,Callide Mine,Open Cut,9776167
FY2019,Callide Mine,Open Cut,11322810
FY2020,Callide Mine,Open Cut,10257099
FY2021,Callide Mine,Open Cut,8533171
FY2022,Callide Mine,Open Cut,7593493
FY2023,Callide Mine,Open Cut,7135912
FY2024,Callide Mine,Open Cut,9323664
FY2025,Callide Mine,Open Cut,9981532
FY2010,Cameby Downs - Open Cut,Open Cut,0
FY2011,Cameby Downs - Open Cut,Open Cut,522850
FY2012,Cameby Downs - Open Cut,Open Cut,1410728
FY2013,Cameby Downs - Open Cut,Open Cut,1352916
FY2014,Cameby Downs - Open Cut,Open Cut,1471093
FY2015,Cameby Downs - Open Cut,Open Cut,1525083
FY2016,Cameby Downs - Open Cut,Open Cut,1834738
FY2017,Cameby Downs - Open Cut,Open Cut,1903782
FY2018,Cameby Downs - Open Cut,Open Cut,2020579
FY2019,Cameby Downs - Open Cut,Open Cut,2140706
FY2020,Cameby Downs - Open Cut,Open Cut,2064161
FY2021,Cameby Downs - Open Cut,Open Cut,2003280
FY2022,Cameby Downs - Open Cut,Open Cut,2006199
FY2023,Cameby Downs - Open Cut,Open Cut,2225666
FY2024,Cameby Downs - Open Cut,Open Cut,2616634
FY2025,Cameby Downs - Open Cut,Open Cut,2812600
FY2010,Capcoal Complex - Open Cut,Open Cut,5185554
FY2011,Capcoal Complex - Open Cut,Open Cut,3695666
FY2012,Capcoal Complex - Open Cut,Open Cut,5823421
FY2013,Capcoal Complex - Open Cut,Open Cut,5368041
FY2014,Capcoal Complex - Open Cut,Open Cut,5082537
FY2015,Capcoal Complex - Open Cut,Open Cut,5065542
FY2016,Capcoal Complex - Open Cut,Open Cut,4388407
FY2017,Capcoal Complex - Open Cut,Open Cut,3116273
FY2018,Capcoal Complex - Open Cut,Open Cut,3127680
FY2019,Capcoal Complex - Open Cut,Open Cut,3510779
FY2020,Capcoal Complex - Open Cut,Open Cut,4158374
FY2021,Capcoal Complex - Open Cut,Open Cut,3639783
FY2022,Capcoal Complex - Open Cut,Open Cut,2634579
FY2023,Capcoal Complex - Open Cut,Open Cut,3287094
FY2024,Capcoal Complex - Open Cut,Open Cut,3034825
FY2025,Capcoal Complex - Open Cut,Open Cut,3745810
