quarter,series,category,subcategory,value,unit
2010-Q1,saleable_production,Open Cut,Coking,23384051,tonnes
2010-Q2,saleable_production,Open Cut,Coking,27233864,tonnes
2010-Q3,saleable_production,Open Cut,Coking,26932341,tonnes
2010-Q4,saleable_production,Open Cut,Coking,21258601,tonnes
2011-Q1,saleable_production,Open Cut,Coking,15303856,tonnes
2011-Q2,saleable_production,Open Cut,Coking,20830499,tonnes
2011-Q3,saleable_production,Open Cut,Coking,24425910,tonnes
2011-Q4,saleable_production,Open Cut,Coking,25668842,tonnes
2012-Q1,saleable_production,Open Cut,Coking,21986560,tonnes
2012-Q2,saleable_production,Open Cut,Coking,23503974,tonnes
2012-Q3,saleable_production,Open Cut,Coking,26035179,tonnes
2012-Q4,saleable_production,Open Cut,Coking,26972962,tonnes
2013-Q1,saleable_production,Open Cut,Coking,23588656,tonnes
2013-Q2,saleable_production,Open Cut,Coking,27619046,tonnes
2013-Q3,saleable_production,Open Cut,Coking,28846166,tonnes
2013-Q4,saleable_production,Open Cut,Coking,31187848,tonnes
2014-Q1,saleable_production,Open Cut,Coking,29857890,tonnes
2014-Q2,saleable_production,Open Cut,Coking,31258367,tonnes
2014-Q3,saleable_production,Open Cut,Coking,33212913,tonnes
2014-Q4,saleable_production,Open Cut,Coking,33871877,tonnes
2015-Q1,saleable_production,Open Cut,Coking,29400677,tonnes
2015-Q2,saleable_production,Open Cut,Coking,33454381,tonnes
2015-Q3,saleable_production,Open Cut,Coking,32869263,tonnes
2015-Q4,saleable_production,Open Cut,Coking,31035664,tonnes
2016-Q1,saleable_production,Open Cut,Coking,30085813,tonnes
2016-Q2,saleable_production,Open Cut,Coking,34447469,tonnes
2016-Q3,saleable_production,Open Cut,Coking,33430439,tonnes
2016-Q4,saleable_production,Open Cut,Coking,34734448,tonnes
2017-Q1,saleable_production,Open Cut,Coking,31065452,tonnes
2017-Q2,saleable_production,Open Cut,Coking,27203807,tonnes
2017-Q3,saleable_production,Open Cut,Coking,33271404,tonnes
2017-Q4,saleable_production,Open Cut,Coking,31351074,tonnes
2018-Q1,saleable_production,Open Cut,Coking,30844034,tonnes
2018-Q2,saleable_production,Open Cut,Coking,34680625,tonnes
2018-Q3,saleable_production,Open Cut,Coking,31095894,tonnes
2018-Q4,saleable_production,Open Cut,Coking,31227053,tonnes
2019-Q1,saleable_production,Open Cut,Coking,29791808,tonnes
2019-Q2,saleable_production,Open Cut,Coking,34814412,tonnes
